publication_year,name,author,read,genre,format
1974,The Mote in God's Eye,Larry Niven and Jerry Pournelle,0,Sci-Fi,audio
1966,The Moon Is a Harsh Mistress,Robert A. Heinlein,0,Sci-Fi,audio
1928,All Quiet on the Western Front,Erich Maria Remarque,1,War Memoir,audio
1980,A Confederacy of Dunces,John Kennedy Toole,1,Fiction,audio
1972,Watership Down,Richard Adams,1,Fiction,audio
1929,The Maltese Falcon,Dashiell Hammett,1,Crime Fiction,audio
2011,Periodic Tales,Hugh Aldersey-Williams,0,Non-Fiction,audio
1954,The Invasion of the Body Snatchers,Jack Finney,1,Sci-Fi,audio
2003,How to Read Literature Like a Professor,Thomas C Foster,1,Non-Fiction,audio
1939,And Then There Were None,Agatha Christie,1,Crime Fiction,audio
1956,Double Star,Robert A. Heinlein,0,Sci-Fi,audio
1890,The Sign of Four,Arthur Conan Doyle,0,Crime Fiction,audio
1931,The Good Earth,Pearl S. Buck,0,Fiction,audio
1984,Cold Sassy Tree,Olive Ann Burns,1,Fiction,audio
1946,Man's Search for Meaning,Viktor Frankl,1,Non-Fiction,audio
2011,Puplhead:Essays,John Jeremiah Sullivan,0,Non-Fiction,audio
